"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled","CO2_prop"
70,13,13,12.0151323066712,13.7525557578667,12.0151323066712,9.82166080016938e-05
71,14,14,8.88513230667121,13.0795388212337,8.88513230667121,7.26307072226726e-05
72,13.3333333333333,15,10.111219263193,12.2658267711961,10.111219263193,8.2653243713413e-05
74,9,9,11.7737192631929,10.6645193413855,11.7737192631929,9.62431989993947e-05
79,9,9,13.6447718947719,7.94472992747574,13.6447718947719,0.000111537948834508
81,9,9,15.8662004662005,7.87921518899102,15.8662004662005,0.000129696814973887
83,10,10,18.3358974358974,8.68879210188437,18.3358974358974,0.000149885128590793
85,11,11,20.4166666666667,10.5673689948539,20.4166666666667,0.000166894187722582
86,10,10,22.3666666666667,11.9613426898539,22.3666666666667,0.000182834285652004
88,15,15,24.2666666666667,15.630559154229,24.2666666666667,0.000198365663121698
90,18,18,26.2666666666667,20.3649474557618,26.2666666666667,0.000214714481510849
91,22,22,28.1666666666667,23.0903859472088,28.1666666666667,0.000230245858980542
92,27,27,30.05,26.0326832800411,30.05,0.000245640996296993
94,32,32,32,32.4253071733328,32,0.000261581094226415
95,37,37,33.7,35.7373043386201,33.7,0.000275477589857193
96,41,41,35.25,39.0278191246102,35.25,0.000288147924108785
97,45,45,36.6,42.2228971375092,36.6,0.000299183376521462
99,48,48,37.65,48.0309252688592,37.65,0.000307766506175766
100,50,50,38.6,50.4959665997227,38.6,0.000315532194910613
101,52,52,39.2166666666667,52.5453981730152,39.2166666666667,0.000320573080580601
102,53,53,39.6166666666667,53.9834885484164,39.6166666666667,0.000323842844258431
103,52,52,39.8416666666667,54.5901508763014,39.8416666666667,0.000325682086327211
105,51,51,39.8916666666667,52.4288439910217,39.8916666666667,0.00032609080678694
106,48,48,39.6916666666667,49.2207010786066,39.6916666666667,0.000324455924948024
107,43,43,39.2041666666667,44.4778664340812,39.2041666666667,0.000320470900465669
108,40,40,38.3208333333333,38.8656717773534,38.3208333333333,0.000313250172343794
109,37,37,37.1458333333333,33.2265325422383,37.1458333333333,0.000303645241540168
110,32,32,35.6958333333333,28.4028641625505,35.6958333333333,0.000291792348208033
111,29,29,34.0625,25.2370820721049,34.0625,0.000278440813190227
112,27.3333333333333,27,32.2458333333333,24.5716017047163,32.2458333333333,0.000263590636486748
113,26,26,31.4736111111111,26.8098083772973,31.4736111111111,0.000257278176053159
114,26.5,26.5,29.8236111111111,30.598966939152,29.8236111111111,0.00024379040088211
115,28,28,29.6423611111111,34.147312122682,29.6423611111111,0.000242308789215593
116,28,28,29.3423611111111,35.6630786602892,29.3423611111111,0.00023985646645722
117,27.25,27.5,32.5401871980676,33.3545012843754,32.5401871980676,0.000265996805425091
118,23.3333333333333,23,42.1568538647343,26.2527103703135,42.1568538647343,0.000344607373846258
119,21.5,21.5,53.3901871980676,16.6804188653601,53.3901871980676,0.000436433237131989
120,19,19,66.5401871980676,7.78323535974286,66.5401871980676,0.000543926718040657
121,17.3333333333333,17,81.6901871980676,2.70676844368958,81.6901871980676,0.000667769017338475
122,15.6666666666667,16,98.823520531401,4.59662670742793,98.823520531401,0.000807823894872201
123,37.5555555555556,17,117.498520531401,15.8721541477564,117.498520531401,0.000960480986580898
124,19,19,140.023520531401,36.0476363877566,140.023520531401,0.00114460955368871
125,47.375,23.5,166.223520531401,63.911094457081,166.223520531401,0.00135877907458659
126,42,42.5,194.173520531401,98.2505493853824,194.173520531401,0.00158725381157497
127,106.95652173913,96,223.327687198068,137.854022202312,223.327687198068,0.00182557189963516
128,232.333333333333,232,254.211020531401,181.509533937524,254.211020531401,0.0020780249035943
129,261.666666666667,262,288.663293258674,228.10723025704,288.663293258674,0.00235965187855013
130,295,295,324.396626592007,276.945755372363,324.396626592007,0.00265175076710296
131,332,332,360.87995992534,327.425878131369,360.87995992534,0.00294998046255173
132,370,370,398.096626592007,378.948367381932,398.096626592007,0.00325420472474318
133,399.5,399.5,434.868848814229,430.913991971926,434.868848814229,0.00355479591618148
134,477,473,473.318848814229,482.616084284827,473.318848814229,0.00386910194971291
135,552,549.5,510.975098814229,532.918230846519,510.975098814229,0.00417691954594614
136,587,587,549.525098814229,580.576581718485,549.525098814229,0.00449204302039703
137,610.333333333333,610,585.660606060606,624.347286962212,585.660606060606,0.00478742944308246
138,641,641,616.527272727273,662.986496639183,616.527272727273,0.00503974620688835
139,710.545454545455,713,646.54393939394,695.250360810885,646.54393939394,0.00528511472287886
140,733.666666666667,734,675.24393939394,720.335583643348,675.24393939394,0.00551972026676318
141,747,747,701.981439393939,739.201085720782,701.981439393939,0.00573828353260314
144,760,760,726.673106060606,772.474014310498,726.673106060606,0.00594012331963253
145,773,773,750.703369218501,780.4553802554,750.703369218501,0.00613655652373849
146,788,788,772.745869218501,789.214398889062,772.745869218501,0.00631674093840992
147,800.5,800.5,791.045869218501,799.821551375777,791.045869218501,0.00646633262667065
148,813,813,805.645869218501,812.031344781966,805.645869218501,0.00658567900091145
149,829.666666666667,830,819.029202551834,825.269292649588,819.029202551834,0.00669507984396552
150,849.666666666667,850,830.904202551834,838.9609085206,830.904202551834,0.0067921509531511
151,862,862,839.376929824561,852.531705936957,839.376929824561,0.00686141049287242
152,869,869.5,847.018596491228,865.407198440618,847.018596491228,0.0069238766031343
153,866.75,867,854.468596491228,876.999412571899,854.468596491228,0.00698477595163389
154,863.833333333333,856.5,861.718596491228,886.666426864556,861.718596491228,0.00704404041829456
155,880.105263157895,879,869.718596491228,893.752832850703,869.718596491228,0.00710943569185116
156,917.85,917.5,879.418596491228,897.603222062457,879.418596491228,0.00718872746103854
157,918,918,890.618596491228,897.562186031931,890.618596491228,0.00728028084401779
158,879,879,902.618596491228,893.452675184608,902.618596491228,0.0073783737543527
160,878,878,914.801929824562,880.452131928685,914.801929824562,0.00747796530637327
161,878.5,878.5,926.568596491228,875.990589304692,926.568596491228,0.00757415085456278
162,880,880,937.929707602339,875.841192539749,937.929707602339,0.00766702122569004
163,886.5,886.5,952.276136173768,882.21868652616,952.276136173768,0.00778429480331364
164,896,896,968.71085839599,896.682793176659,968.71085839599,0.00791863894775727
165,905,905,984.869191729323,918.173142485713,984.869191729323,0.00805072377632628
166,933,932,1000.91392857143,944.974341468219,1000.91392857143,0.00818188002069293
167,982,982,1014.47142857143,975.370997139075,1014.47142857143,0.00829270457334839
168,1024.5,1024.5,1028.12142857143,1007.64771651318,1028.12142857143,0.00840428525885434
169,1053,1053,1043.87142857143,1040.08910660543,1043.87142857143,0.00853303220366891
170,1073.33333333333,1074,1059.94642857143,1071.16415823495,1059.94642857143,0.00866443583147171
171,1085,1085,1076.32142857143,1100.07939743781,1076.32142857143,0.00879829178203288
172,1089.22222222222,1089,1092.87142857143,1126.22573405429,1092.87142857143,0.00893357825420311
173,1155.92857142857,1180,1109.34642857143,1148.99407792469,1109.34642857143,0.00906825164568374
174,1195.44444444444,1193,1125.64642857143,1167.7753388893,1125.64642857143,0.00920149451555532
175,1187,1187,1141.99642857143,1182.15996757685,1141.99642857143,0.00933514610588663
176,1201,1201,1157.44642857143,1192.53657776979,1157.44642857143,0.00946144072794282
177,1189,1189,1170.89642857143,1199.49332403902,1170.89642857143,0.00957138653160986
181,1191,1191,1182.67142857143,1204.88476129678,1182.67142857143,0.00966764019987598
182,1194,1194,1193.42142857143,1203.56450651091,1193.42142857143,0.00975551509871767
183,1199.5,1199.5,1203.70476190476,1202.3533152267,1203.70476190476,0.00983957527326856
184,1206,1206,1233.51587301587,1201.8470949888,1233.51587301587,0.0100832634940357
185,1211,1211,1247.52142857143,1202.67276523688,1247.52142857143,0.0101977506361442
186,1216,1216,1278.89166666667,1205.46499838435,1278.89166666667,0.0104541837988659
187,1222,1222,1305.28308080808,1210.85846684462,1305.28308080808,0.0106699180172814
188,1232,1232,1334.64234006734,1219.4878430311,1334.64234006734,0.0109099126161162
189,1242,1242,1387.09234006734,1232.33982908762,1387.09234006734,0.0113386603783717
190,1251,1251,1442.29234006734,1251.80924607954,1442.29234006734,0.0117898877659122
191,1260,1260,1500.40900673401,1280.64294480266,1500.40900673401,0.0122649571802703
192,1268,1268,1562.50900673401,1321.58777605275,1562.50900673401,0.0127725879912534
193,1279,1279,1626.93400673401,1377.39059062561,1626.93400673401,0.013299224303614
194,1681.22222222222,1334,1694.66734006734,1450.798239317,1694.66734006734,0.0138529042863932
195,1369.33333333333,1369,1771.35305435305,1543.4734983192,1771.35305435305,0.0144797646943429
196,1783.33333333333,1949,1878.12305435305,1652.74284541046,1878.12305435305,0.0153525463640478
197,1723.27272727273,1802,1997.97305435305,1774.8486837655,1997.97305435305,0.0163322493060176
198,1774.18518518519,1781,2135.02305435305,1906.03341655906,2135.02305435305,0.0174525520861342
199,2250,2250,2273.52305435305,2042.53944696586,2273.52305435305,0.0185847077595829
200,2293,2293,2413.97305435305,2181.67879768291,2413.97305435305,0.019732803530961
201,2353.33333333333,2353,2556.77305435305,2325.04196949627,2556.77305435305,0.0209001091639464
202,2436,2436,2703.94805435305,2475.28908271428,2703.94805435305,0.022103177837158
203,2488,2488,2855.74805435305,2635.08025764529,2855.74805435305,0.0233440531528946
204,2560.66666666667,2561,2990.98694324194,2807.07561459764,2990.98694324194,0.0244495511696921
205,2744.71428571429,2746,3146.99527657528,2992.46055206262,3146.99527657528,0.0257248271241225
206,3351.4,3069,3287.12860990861,3186.52158126338,3287.12860990861,0.026870334332589
207,3619,3686,3435.69830687831,3383.07049160601,3435.69830687831,0.0280848038295334
209,3973,3973,3586.08904761905,3758.87911334134,3586.08904761905,0.0293141592834235
210,4012,4012,3714.91404761905,3925.76240354624,3714.91404761905,0.0303672275479147
214,4060,4060,3843.06404761905,4308.76384608977,3843.06404761905,0.0314147780861995
215,4116,4116,3997.69738095238,4307.43654520133,3997.69738095238,0.0326788142279874
216,4211.5,4211.5,4165.94023809524,4282.8811561947,4165.94023809524,0.0340541001863376
217,4315,4315,4337.28086309524,4258.88739456102,4337.28086309524,0.0354547085667419
218,4386,4386,4600.8975297619,4259.24497579138,4600.8975297619,0.0376096190705852
219,4489.5,4489.5,4873.18681547619,4307.74361537692,4873.18681547619,0.0398354231113125
220,4586,4586,5134.16681547619,4421.57306407443,5134.16681547619,0.0419687804229128
221,4694.66666666667,4697,5401.64181547619,4591.52321370353,5401.64181547619,0.0441552305222319
222,4782,4782,5678.16681547619,4801.78399134951,5678.16681547619,0.0464156590247619
223,4826.5,4826.5,5972.61681547619,5036.54532409767,5972.61681547619,0.0488226138121046
224,4856,4856,6277.71681547619,5279.9971390333,6277.71681547619,0.0513166260573696
225,5446,4867,6727.05252976191,5516.32936324172,6727.05252976191,0.0549896800516779
226,5800.85714285714,6486,7185.71919642857,5735.65289731036,7185.71919642857,0.0587390090689231
227,5914.8125,6271,7699.75669642857,5951.76253583532,7699.75669642857,0.0629409619352797
231,7833,7833,8242.33919642857,7178.37749646291,8242.33919642857,0.0673762533120955
232,8190.5,8190.5,8817.44752976191,7674.15417874291,8817.44752976191,0.0720774241599724
233,8571,8571,9441.4475297619,8285.01157406864,9441.4475297619,0.0771782554973875
234,8968.5,8968.5,10069.4141964286,9021.07377113034,10069.4141964286,0.0823115119912744
235,9503.5,9503.5,10702.2141964286,9854.09814098629,10702.2141964286,0.0874842781296018
236,9901,9901,11341.9891964286,10746.2503752869,11341.9891964286,0.0927140607720612
237,10162,10162,11994.3141964286,11659.6961656823,11994.3141964286,0.0980464322499127
238,13102.7142857143,11234,12637.4641964286,12556.6012038231,12637.4641964286,0.103303803523404
239,13384.8333333333,12309.5,13315.4713392857,13399.1311813594,13315.4713392857,0.108846111345963
240,14595.75,14667,14050.9307142857,14159.1951708963,14050.9307142857,0.1148580572232
241,15237.65,15453,14917.0543984962,14847.6757688572,14917.0543984962,0.12193810663105
242,15991.6666666667,15570,15913.3243984962,15485.1989526206,15913.3243984962,0.13008202527933
243,17066,17066,17163.9743984962,16092.3906995646,17163.9743984962,0.140305350138525
244,17254,17254,18420.6493984962,16689.8769870674,18420.6493984962,0.150577925813119
245,17438,17438,19689.2743984962,17303.8394098936,19689.2743984962,0.160948185677587
246,17622,17622,20990.1743984962,17982.6820323535,20990.1743984962,0.17158227459881
247,17902.5,17902.5,22332.8993984962,18780.3645361435,22332.8993984962,0.182558258184597
248,18309,18309,23585.2386842105,19750.8466029601,23585.2386842105,0.192795391956467
249,19361,19307.5,25058.1803508772,20948.0879144999,25058.1803508772,0.204835819859541
250,20624,20624,26486.2428508772,22406.1127048102,26486.2428508772,0.216509387089969
251,25155.4736842105,24567,27896.6728508772,24079.2034173415,27896.6728508772,0.228038819050274
252,28115.9,28751.5,29317.6933636977,25901.7070478951,29317.6933636977,0.239654822195955
254,33584,33584,30578.7219351263,29732.3410462747,30578.7219351263,0.249962985744863
257,34102,34102,32457.4886017929,34957.5638240445,32457.4886017929,0.265320793259325
258,34876,34876,34430.5136017929,36297.8318745598,34430.5136017929,0.281449106960452
259,35919,35919,36581.5936017929,37364.4438627114,36581.5936017929,0.299032915090719
260,37016.5,37016.5,38881.0811017929,38274.2570293244,38881.0811017929,0.31782986685353
261,38149.5,38149.5,41346.5811017929,39180.6306642288,41346.5811017929,0.337983872722756
262,42843.6666666667,39559,43818.5811017929,40236.9240572545,43818.5811017929,0.358191012251747
263,43157,40769.5,46558.9394351263,41596.4964982312,46558.9394351263,0.380591822608178
264,43446.25,41774,49513.03003663,43380.9928895997,49513.03003663,0.40473976798272
265,44412.0769230769,43162,52616.5136080586,45585.2005842431,52616.5136080586,0.430108912624219
266,42286.5714285714,41451.5,55628.8636080586,48172.1925476553,55628.8636080586,0.454733094161499
267,54829.3333333333,54846,58603.8136080586,51105.0417453299,58603.8136080586,0.479051552794901
268,56898.5,56898.5,61531.1636080586,54346.8211427611,61531.1636080586,0.502980909550641
269,60643.6,59601,64399.9136080586,57860.6037054424,64399.9136080586,0.52643124592758
270,63892.25,63858,67209.6386080586,61598.1727142381,67209.6386080586,0.549399087801808
272,67619,67619,69961.5136080586,69359.8785549213,69961.5136080586,0.571894040104131
274,68801,68788,72483.9802747253,76805.90721116,72483.9802747253,0.592513714817141
275,75431.1666666667,71903.5,75002.5469413919,80148.8797393998,75002.5469413919,0.613101509334292
276,84237.2857142857,78794,77707.734441392,83098.9375446733,77707.734441392,0.635214818907343
277,90185.5714285714,91812.5,80352.0705952381,85578.1602016101,80352.0705952381,0.656830704676891
279,93831,93831,83331.9809126984,89267.078556547,83331.9809126984,0.681189710974949
281,93601,93601,85872.9309126984,91635.3153609315,85872.9309126984,0.701960476017905
283,93423,93423,87929.8559126984,93129.2958883992,87929.8559126984,0.718774622650458
284,93294,93294,89792.8259126984,93687.9479463005,89792.8259126984,0.734003301747676
285,93211,93211,91496.2384126984,94195.4454125859,91496.2384126984,0.74792769254983
287,93187,93187,93027.8384126984,95216.5179283333,93027.8384126984,0.760447617672242
288,93293,93293,94598.9759126984,95754.1512878624,94598.9759126984,0.773290738498185
289,93528.3333333333,93646,95905.2898015873,96320.5823153072,95905.2898015873,0.783969082762519
290,97550,99306,96822.956765873,96923.8607107765,96822.956765873,0.791470468032935
291,97298.8,97051,97495.0281944444,97572.0361743794,97495.0281944444,0.796964254898061
292,101884.777777778,101628,97989.4031944444,98263.3761275285,97989.4031944444,0.801005478443629
293,105648.333333333,106283,98520.2031944444,98957.0188768507,98520.2031944444,0.805344454844109
295,98037,98037,99089.8531944445,100148.636875738,99089.8531944445,0.810001007041799
296,97903,97903,99685.2031944444,100545.324181164,99685.2031944444,0.81486764155579
297,97960.5,97960.5,100850.533194444,100741.738394486,100850.533194444,0.824393525822505
298,98251,98251,102037.118194444,100711.965512828,102037.118194444,0.83409315715665
299,100223.75,99299.5,103216.648963675,100529.011410086,103216.648963675,0.843735124321935
300,101557.444444444,101115,104656.882297009,100290.611929349,104656.882297009,0.855508180924269
301,102590.625,102699,105873.382297009,100094.502913708,105873.382297009,0.86545234970947
302,103627,103627,107078.192297009,100038.420206251,107078.192297009,0.875300959651186
306,103718.5,103718.5,108018.20340812,103169.069320053,108018.20340812,0.882984995120856
307,104217,104197,108739.086741453,105228.038843856,108739.086741453,0.888877790469072
308,104816,104816,109819.311741453,107706.747998364,109819.311741453,0.897707991641283
309,105201,105201,110893.986741453,110396.230890649,110893.986741453,0.906492824842463
310,116517.6,123137,111648.749241453,113087.521627785,111648.749241453,0.912662562362184
311,116918.7,121724.5,112439.249241453,115571.654316844,112439.249241453,0.919124432830496
312,116883.615384615,117251,113104.836741453,117676.822921835,113104.836741453,0.92456521741029
313,122333,122333,113341.114519231,119379.860834499,113341.114519231,0.926496648649431
317,121880,121880,113520.283269231,122450.570535422,113520.283269231,0.927961247326811
319,121395,121395,113640.483269231,121936.965697516,113640.483269231,0.928943811311999
320,120685,120685,113733.808269231,121216.899726839,113733.808269231,0.929706688050083
321,120066,120066,113760.358269231,120206.649053249,113760.358269231,0.929923718614199
322,119641.5,119641.5,113753.458269231,118929.195244478,113753.458269231,0.929867315190756
323,119396.5,119396.5,113688.563824786,117443.473144482,113688.563824786,0.929336841447413
324,113055.75,113058.5,112974.879279332,115817.405916274,112974.879279332,0.923502891937023
325,114061,111327,112590.794279332,114118.916722867,112590.794279332,0.920363223981524
326,113535.5,113799,112274.163510101,112415.928727271,112274.163510101,0.917774954510239
329,106283,106283,111553.413510101,107832.34684591,111553.413510101,0.911883249083248
331,106174,106174,110798.838510101,105623.517831297,110798.838510101,0.905715044265252
332,106031,106031,110017.338510101,104892.369343867,110017.338510101,0.899326743479691
333,105585,105604,109225.538510101,104463.041913239,109225.538510101,0.892854246279426
334,104748,104748,108441.971843434,104375.268322074,108441.971843434,0.886449051714863
335,104678,104072,107631.463510101,104668.781353037,107631.463510101,0.879823624942583
336,103903.111111111,102951,106678.488510101,105345.362799526,106678.488510101,0.872033617340383
337,102243.909090909,100560,106084.201010101,106254.99049789,106084.201010101,0.867175668136161
338,109237,109192,105307.541010101,107209.691295215,105307.541010101,0.860826931491102
339,110551,110640,104482.166010101,108021.492038586,104482.166010101,0.854079978502129
340,107918,107918,103948.166010101,108502.419575088,103948.166010101,0.849714843992226
343,106788.5,106788.5,103321.666010101,107307.287371178,103321.666010101,0.844593576631825
344,105765,105765,102654.766010101,106266.511677238,102654.766010101,0.839142063139962
345,104849,104802,101964.966010101,105045.713418026,101964.966010101,0.833503355677544
346,104394.666666667,104389,101236.916010101,103729.598542169,101236.916010101,0.827551977063433
347,103431.333333333,103638,100301.216010101,102402.872998295,100301.216010101,0.819903182380069
348,100337,100337,99349.4937878788,101150.242735032,99349.4937878788,0.812123415496054
349,101170,101170,98335.2483333333,100022.888797886,98335.2483333333,0.803832558126861
350,98527.8,99105,96967.3733333333,98937.892619874,96967.3733333333,0.792650988149831
